# A-120 - Norma 3.1-IC Trazado (tools/make_carretera.py)
# Vp=120 km/h, grupo 2, R_min=700 m, p_max=8%, 64 km
# kappa_1_per_m, elev_m, piano, peralte_rad, semiancho_m
0.000000,0.00,0,0.0000,4.75
0.000000,0.16,0,0.0000,4.75
0.000000,0.32,0,0.0000,4.75
0.000000,0.48,0,0.0000,4.75
0.000000,0.64,0,0.0000,4.75
0.000000,0.80,0,0.0000,4.75
0.000000,0.96,0,0.0000,4.75
0.000000,1.12,0,0.0000,4.75
0.000000,1.28,0,0.0000,4.75
0.000000,1.44,0,0.0000,4.75
0.000000,1.60,0,0.0000,4.75
0.000000,1.76,0,0.0000,4.75
0.000000,1.92,0,0.0000,4.75
0.000000,2.08,0,0.0000,4.75
0.000000,2.24,0,0.0000,4.75
0.000000,2.40,0,0.0000,4.75
0.000000,2.56,0,0.0000,4.75
0.000000,2.72,0,0.0000,4.75
0.000000,2.88,0,0.0000,4.75
0.000000,3.04,0,0.0000,4.75
0.000000,3.20,0,0.0000,4.75
0.000000,3.36,0,0.0000,4.75
0.000000,3.52,0,0.0000,4.75
0.000000,3.68,0,0.0000,4.75
0.000000,3.84,0,0.0000,4.75
0.000000,4.00,0,0.0000,4.75
0.000000,4.16,0,0.0000,4.75
0.000000,4.32,0,0.0000,4.75
0.000000,4.48,0,0.0000,4.75
0.000000,4.64,0,0.0000,4.75
0.000000,4.80,0,0.0000,4.75
0.000000,4.96,0,0.0000,4.75
0.000000,5.12,0,0.0000,4.75
0.000000,5.28,0,0.0000,4.75
0.000000,5.44,0,0.0000,4.75
0.000000,5.60,0,0.0000,4.75
0.000000,5.76,0,0.0000,4.75
0.000000,5.92,0,0.0000,4.75
0.000000,6.08,0,0.0000,4.75
0.000000,6.24,0,0.0000,4.75
0.000000,6.40,0,0.0000,4.75
0.000000,6.56,0,0.0000,4.75
0.000000,6.72,0,0.0000,4.75
0.000000,6.88,0,0.0000,4.75
0.000000,7.04,0,0.0000,4.75
0.000000,7.20,0,0.0000,4.75
0.000000,7.36,0,0.0000,4.75
0.000000,7.52,0,0.0000,4.75
0.000000,7.68,0,0.0000,4.75
0.000000,7.84,0,0.0000,4.75
0.000000,8.00,0,0.0000,4.75
0.000000,8.16,0,0.0000,4.75
0.000000,8.32,0,0.0000,4.75
0.000000,8.48,0,0.0000,4.75
0.000000,8.64,0,0.0000,4.75
0.000000,8.80,0,0.0000,4.75
0.000000,8.96,0,0.0000,4.75
0.000000,9.12,0,0.0000,4.75
0.000000,9.28,0,0.0000,4.75
0.000000,9.44,0,0.0000,4.75
0.000000,9.60,0,0.0000,4.75
0.000000,9.75,0,0.0000,4.75
0.000000,9.91,0,0.0000,4.75
0.000000,10.07,0,0.0000,4.75
0.000000,10.23,0,0.0000,4.75
0.000000,10.39,0,0.0000,4.75
0.000000,10.55,0,0.0000,4.75
0.000000,10.71,0,0.0000,4.75
0.000000,10.87,0,0.0000,4.75
0.000000,11.03,0,0.0000,4.75
0.000000,11.19,0,0.0000,4.75
0.000000,11.35,0,0.0000,4.75
0.000000,11.51,0,0.0000,4.75
0.000000,11.67,0,0.0000,4.75
0.000000,11.83,0,0.0000,4.75
0.000000,11.99,0,0.0000,4.75
0.000000,12.15,0,0.0000,4.75
0.000000,12.31,0,0.0000,4.75
0.000000,12.47,0,0.0000,4.75
0.000000,12.63,0,0.0000,4.75
0.000000,12.79,0,0.0000,4.75
0.000000,12.95,0,0.0000,4.75
0.000000,13.11,0,0.0000,4.75
0.000000,13.27,0,0.0000,4.75
0.000000,13.43,0,0.0000,4.75
0.000000,13.59,0,0.0000,4.75
0.000000,13.75,0,0.0000,4.75
0.000000,13.91,0,0.0000,4.75
0.000000,14.07,0,0.0000,4.75
0.000000,14.22,0,0.0000,4.75
0.000000,14.38,0,0.0000,4.75
0.000000,14.54,0,0.0000,4.75
0.000000,14.70,0,0.0000,4.75
0.000000,14.86,0,0.0000,4.75
0.000000,15.02,0,0.0000,4.75
0.000000,15.18,0,0.0000,4.75
0.000000,15.34,0,0.0000,4.75
0.000000,15.50,0,0.0000,4.75
0.000000,15.66,0,0.0000,4.75
0.000000,15.82,0,0.0000,4.75
0.000000,15.98,0,0.0000,4.75
0.000000,16.14,0,0.0000,4.75
0.000000,16.30,0,0.0000,4.75
0.000000,16.46,0,0.0000,4.75
0.000000,16.62,0,0.0000,4.75
0.000000,16.77,0,0.0000,4.75
0.000000,16.93,0,0.0000,4.75
0.000000,17.09,0,0.0000,4.75
0.000000,17.25,0,0.0000,4.75
0.000000,17.41,0,0.0000,4.75
0.000027,17.57,0,0.0016,4.75
0.000080,17.73,0,0.0047,4.75
0.000133,17.89,0,0.0078,4.75
0.000186,18.05,0,0.0110,4.75
0.000239,18.21,0,0.0141,4.75
0.000292,18.37,0,0.0172,4.75
0.000346,18.53,0,0.0203,4.75
0.000399,18.68,0,0.0235,4.75
0.000452,18.84,0,0.0266,4.75
0.000505,19.00,0,0.0297,4.75
0.000558,19.16,0,0.0328,4.75
0.000611,19.32,0,0.0360,4.75
0.000664,19.48,0,0.0391,4.75
0.000718,19.64,0,0.0422,4.75
0.000771,19.80,0,0.0453,4.75
0.000824,19.96,0,0.0485,4.75
0.000877,20.12,0,0.0516,4.75
0.000930,20.28,0,0.0547,4.75
0.000983,20.43,0,0.0578,4.75
0.001037,20.59,0,0.0610,4.75
0.001090,20.75,0,0.0641,4.75
0.001143,20.91,0,0.0672,4.75
0.001196,21.07,0,0.0703,4.75
0.001249,21.23,0,0.0734,4.75
0.001255,21.39,0,0.0750,4.75
0.001255,21.55,0,0.0750,4.75
0.001255,21.71,0,0.0750,4.75
0.001255,21.86,0,0.0750,4.75
0.001255,22.02,0,0.0750,4.75
0.001255,22.18,0,0.0750,4.75
