# C-50 generada por tools/make_carretera.py (Norma 3.1-IC)
# Vp=50 km/h, R_min norma=84 m, ~25 km (~30 min a Vp)
# kappa_1_per_m, elev_m, piano, peralte_rad, semiancho_m
0.002691,0.00,0,0.0332,3.25
0.002741,0.28,0,0.0335,3.25
0.002792,0.56,0,0.0339,3.25
0.002850,0.84,0,0.0342,3.25
0.002902,1.12,0,0.0345,3.25
0.002961,1.40,0,0.0349,3.25
0.003014,1.68,0,0.0352,3.25
0.003073,1.96,0,0.0355,3.25
0.003133,2.24,0,0.0359,3.25
0.003193,2.52,0,0.0362,3.25
0.003247,2.80,0,0.0365,3.25
0.003307,3.08,0,0.0368,3.25
0.003367,3.36,0,0.0372,3.25
0.003427,3.64,0,0.0375,3.25
0.003486,3.92,0,0.0378,3.25
0.003545,4.20,0,0.0381,3.25
0.003604,4.48,0,0.0385,3.25
0.003668,4.76,0,0.0388,3.25
0.003725,5.04,0,0.0391,3.25
0.003781,5.32,0,0.0394,3.25
0.003836,5.60,0,0.0397,3.25
0.003895,5.88,0,0.0400,3.25
0.003947,6.16,0,0.0403,3.25
0.003998,6.44,0,0.0405,3.25
0.004052,6.72,0,0.0408,3.25
0.004099,7.00,0,0.0410,3.25
0.004148,7.28,0,0.0413,3.25
0.004191,7.55,0,0.0415,3.25
0.004235,7.83,0,0.0417,3.25
0.004276,8.11,0,0.0419,3.25
0.004310,8.39,0,0.0421,3.25
0.004345,8.67,0,0.0422,3.25
0.004377,8.95,0,0.0424,3.25
0.004402,9.23,0,0.0425,3.25
0.004426,9.51,0,0.0426,3.25
0.004446,9.79,0,0.0427,3.25
0.004463,10.07,0,0.0428,3.25
0.004475,10.35,0,0.0429,3.25
0.004483,10.63,0,0.0429,3.25
0.004487,10.90,0,0.0429,3.25
0.004488,11.18,0,0.0429,3.25
0.004484,11.46,0,0.0429,3.25
0.004476,11.74,0,0.0429,3.25
0.004465,12.02,0,0.0428,3.25
0.004449,12.30,0,0.0427,3.25
0.004429,12.58,0,0.0426,3.25
0.004406,12.86,0,0.0425,3.25
0.004378,13.13,0,0.0424,3.25
0.004350,13.41,0,0.0423,3.25
0.004316,13.69,0,0.0421,3.25
0.004279,13.97,0,0.0419,3.25
0.004238,14.25,0,0.0417,3.25
0.004198,14.52,0,0.0415,3.25
0.004152,14.80,0,0.0413,3.25
0.004103,15.08,0,0.0410,3.25
0.004056,15.36,0,0.0408,3.25
0.004003,15.64,0,0.0405,3.25
0.003952,15.91,0,0.0403,3.25
0.003895,16.19,0,0.0400,3.25
0.003842,16.47,0,0.0397,3.25
0.003781,16.75,0,0.0394,3.25
0.003725,17.02,0,0.0391,3.25
0.003668,17.30,0,0.0388,3.25
0.003604,17.58,0,0.0385,3.25
0.003546,17.85,0,0.0382,3.25
0.003487,18.13,0,0.0378,3.25
0.003428,18.41,0,0.0375,3.25
0.003368,18.68,0,0.0372,3.25
0.003302,18.96,0,0.0368,3.25
0.003242,19.24,0,0.0365,3.25
0.003182,19.51,0,0.0361,3.25
0.003129,19.79,0,0.0358,3.25
0.003069,20.07,0,0.0355,3.25
0.003010,20.34,0,0.0351,3.25
0.002950,20.62,0,0.0348,3.25
0.002892,20.89,0,0.0345,3.25
0.002834,21.17,0,0.0341,3.25
0.002782,21.45,0,0.0338,3.25
0.002725,21.72,0,0.0334,3.25
0.002675,22.00,0,0.0331,3.25
0.002619,22.27,0,0.0328,3.25
0.002570,22.55,0,0.0325,3.25
0.002516,22.82,0,0.0321,3.25
0.002468,23.10,0,0.0318,3.25
0.002415,23.37,0,0.0315,3.25
0.002369,23.65,0,0.0312,3.25
0.002323,23.92,0,0.0309,3.25
0.002273,24.19,0,0.0305,3.25
0.002228,24.47,0,0.0302,3.25
0.002185,24.74,0,0.0299,3.25
0.002142,25.02,0,0.0297,3.25
0.002100,25.29,0,0.0294,3.25
0.002059,25.57,0,0.0291,3.25
0.002018,25.84,0,0.0288,3.25
0.001978,26.11,0,0.0285,3.25
0.001939,26.39,0,0.0282,3.25
0.001900,26.66,0,0.0279,3.25
0.001863,26.93,0,0.0277,3.25
0.001826,27.20,0,0.0274,3.25
