# C-90 - Norma 3.1-IC (tools/make_carretera.py)
# Vp=90 km/h, grupo 3, R_min=350 m; ida y vuelta cerradas con dos glorietas de R=63 m a 40 km/h
# kappa_1_per_m, elev_m, piano, peralte_rad, semiancho_m
0.000085,0.00,0,0.0021,3.75
0.000255,0.20,0,0.0062,3.75
0.000425,0.40,0,0.0103,3.75
0.000595,0.60,0,0.0144,3.75
0.000764,0.80,0,0.0185,3.75
0.000934,1.00,0,0.0226,3.75
0.001104,1.20,0,0.0268,3.75
0.001274,1.40,0,0.0309,3.75
0.001444,1.60,0,0.0350,3.75
0.001614,1.80,0,0.0391,3.75
0.001784,2.00,0,0.0432,3.75
0.001954,2.20,0,0.0473,3.75
0.002124,2.40,0,0.0514,3.75
0.002293,2.60,0,0.0555,3.75
0.002463,2.80,0,0.0596,3.75
0.002633,3.00,0,0.0637,3.75
0.002803,3.20,0,0.0678,3.75
0.002865,3.40,0,0.0699,3.75
0.002865,3.60,0,0.0699,3.75
0.002865,3.80,0,0.0699,3.75
0.002865,4.00,0,0.0699,3.75
0.002865,4.20,0,0.0699,3.75
0.002865,4.40,0,0.0699,3.75
0.002865,4.60,0,0.0699,3.75
0.002865,4.80,0,0.0699,3.75
0.002865,5.00,0,0.0699,3.75
0.002865,5.20,0,0.0699,3.75
0.002865,5.40,0,0.0699,3.75
0.002865,5.60,0,0.0699,3.75
0.002865,5.80,0,0.0699,3.75
0.002865,6.00,0,0.0699,3.75
0.002865,6.20,0,0.0699,3.75
0.002865,6.40,0,0.0699,3.75
0.002865,6.60,0,0.0699,3.75
0.002865,6.80,0,0.0699,3.75
0.002865,7.00,0,0.0699,3.75
0.002865,7.20,0,0.0699,3.75
0.002865,7.40,0,0.0699,3.75
0.002865,7.60,0,0.0699,3.75
0.002865,7.80,0,0.0699,3.75
0.002865,8.00,0,0.0699,3.75
0.002865,8.20,0,0.0699,3.75
0.002865,8.40,0,0.0699,3.75
0.002865,8.60,0,0.0699,3.75
0.002865,8.80,0,0.0699,3.75
0.002865,8.99,0,0.0699,3.75
0.002865,9.19,0,0.0699,3.75
0.002865,9.39,0,0.0699,3.75
0.002865,9.59,0,0.0699,3.75
0.002865,9.79,0,0.0699,3.75
0.002865,9.99,0,0.0699,3.75
0.002865,10.19,0,0.0699,3.75
0.002865,10.39,0,0.0699,3.75
0.002865,10.59,0,0.0699,3.75
0.002865,10.79,0,0.0699,3.75
0.002865,10.99,0,0.0699,3.75
0.002865,11.19,0,0.0699,3.75
0.002865,11.39,0,0.0699,3.75
0.002865,11.59,0,0.0699,3.75
0.002803,11.79,0,0.0678,3.75
0.002633,11.99,0,0.0637,3.75
0.002463,12.19,0,0.0596,3.75
0.002293,12.39,0,0.0555,3.75
0.002124,12.59,0,0.0514,3.75
0.001954,12.79,0,0.0473,3.75
0.001784,12.98,0,0.0432,3.75
0.001614,13.18,0,0.0391,3.75
0.001444,13.38,0,0.0350,3.75
0.001274,13.58,0,0.0309,3.75
0.001104,13.78,0,0.0268,3.75
0.000934,13.98,0,0.0226,3.75
0.000764,14.18,0,0.0185,3.75
0.000595,14.38,0,0.0144,3.75
0.000425,14.58,0,0.0103,3.75
0.000255,14.78,0,0.0062,3.75
0.000085,14.98,0,0.0021,3.75
0.000000,15.18,0,0.0000,3.75
0.000000,15.38,0,0.0000,3.75
0.000000,15.57,0,0.0000,3.75
0.000000,15.77,0,0.0000,3.75
0.000000,15.97,0,0.0000,3.75
0.000000,16.17,0,0.0000,3.75
0.000000,16.37,0,0.0000,3.75
0.000000,16.57,0,0.0000,3.75
0.000000,16.77,0,0.0000,3.75
0.000000,16.97,0,0.0000,3.75
0.000000,17.17,0,0.0000,3.75
0.000000,17.36,0,0.0000,3.75
0.000000,17.56,0,0.0000,3.75
0.000000,17.76,0,0.0000,3.75
0.000000,17.96,0,0.0000,3.75
0.000000,18.16,0,0.0000,3.75
0.000000,18.36,0,0.0000,3.75
0.000000,18.56,0,0.0000,3.75
0.000000,18.75,0,0.0000,3.75
0.000000,18.95,0,0.0000,3.75
0.000000,19.15,0,0.0000,3.75
0.000000,19.35,0,0.0000,3.75
0.000000,19.55,0,0.0000,3.75
0.000000,19.75,0,0.0000,3.75
0.000000,19.95,0,0.0000,3.75
0.000000,20.14,0,0.0000,3.75
0.000000,20.34,0,0.0000,3.75
0.000000,20.54,0,0.0000,3.75
0.000000,20.74,0,0.0000,3.75
0.000000,20.94,0,0.0000,3.75
0.000000,21.14,0,0.0000,3.75
0.000000,21.33,0,0.0000,3.75
0.000000,21.53,0,0.0000,3.75
0.000000,21.73,0,0.0000,3.75
0.000000,21.93,0,0.0000,3.75
0.000000,22.13,0,0.0000,3.75
0.000000,22.32,0,0.0000,3.75
0.000000,22.52,0,0.0000,3.75
0.000000,22.72,0,0.0000,3.75
0.000000,22.92,0,0.0000,3.75
0.000000,23.12,0,0.0000,3.75
0.000000,23.31,0,0.0000,3.75
0.000000,23.51,0,0.0000,3.75
0.000000,23.71,0,0.0000,3.75
0.000000,23.91,0,0.0000,3.75
0.000000,24.10,0,0.0000,3.75
0.000000,24.30,0,0.0000,3.75
0.000000,24.50,0,0.0000,3.75
0.000000,24.70,0,0.0000,3.75
0.000000,24.89,0,0.0000,3.75
0.000000,25.09,0,0.0000,3.75
0.000000,25.29,0,0.0000,3.75
0.000000,25.49,0,0.0000,3.75
0.000000,25.68,0,0.0000,3.75
0.000000,25.88,0,0.0000,3.75
0.000000,26.08,0,0.0000,3.75
0.000000,26.28,0,0.0000,3.75
0.000000,26.47,0,0.0000,3.75
0.000000,26.67,0,0.0000,3.75
0.000000,26.87,0,0.0000,3.75
0.000000,27.06,0,0.0000,3.75
0.000000,27.26,0,0.0000,3.75
0.000000,27.46,0,0.0000,3.75
0.000000,27.65,0,0.0000,3.75
0.000000,27.85,0,0.0000,3.75
0.000000,28.05,0,0.0000,3.75
0.000000,28.25,0,0.0000,3.75
0.000000,28.44,0,0.0000,3.75
0.000000,28.64,0,0.0000,3.75
0.000000,28.84,0,0.0000,3.75
0.000000,29.03,0,0.0000,3.75
0.000000,29.23,0,0.0000,3.75
0.000000,29.43,0,0.0000,3.75
0.000000,29.62,0,0.0000,3.75
0.000000,29.82,0,0.0000,3.75
0.000000,30.01,0,0.0000,3.75
0.000000,30.21,0,0.0000,3.75
0.000000,30.41,0,0.0000,3.75
0.000000,30.60,0,0.0000,3.75
0.000000,30.80,0,0.0000,3.75
0.000000,31.00,0,0.0000,3.75
0.000000,31.19,0,0.0000,3.75
0.000000,31.39,0,0.0000,3.75
0.000000,31.58,0,0.0000,3.75
0.000000,31.78,0,0.0000,3.75
0.000000,31.98,0,0.0000,3.75
0.000000,32.17,0,0.0000,3.75
0.000000,32.37,0,0.0000,3.75
0.000000,32.56,0,0.0000,3.75
0.000000,32.76,0,0.0000,3.75
0.000000,32.95,0,0.0000,3.75
0.000000,33.15,0,0.0000,3.75
0.000000,33.34,0,0.0000,3.75
0.000000,33.54,0,0.0000,3.75
0.000000,33.74,0,0.0000,3.75
0.000000,33.93,0,0.0000,3.75
0.000000,34.13,0,0.0000,3.75
0.000000,34.32,0,0.0000,3.75
0.000000,34.52,0,0.0000,3.75
0.000000,34.71,0,0.0000,3.75
0.000000,34.91,0,0.0000,3.75
0.000000,35.10,0,0.0000,3.75
0.000000,35.30,0,0.0000,3.75
0.000000,35.49,0,0.0000,3.75
0.000000,35.69,0,0.0000,3.75
0.000000,35.88,0,0.0000,3.75
0.000000,36.08,0,0.0000,3.75
0.000000,36.27,0,0.0000,3.75
0.000000,36.47,0,0.0000,3.75
0.000000,36.66,0,0.0000,3.75
0.000000,36.85,0,0.0000,3.75
0.000000,37.05,0,0.0000,3.75
