# CARRETERA generada por tools/make_carretera.py
# Norma 3.1-IC: C-50 (montana), C-90 (puerto), A-120 (variante)
# kappa_1_per_m, elev_m, piano, peralte_rad, semiancho_m
0.000000,0.00,0,0.0000,3.75
0.000000,0.16,0,0.0000,3.75
0.000000,0.32,0,0.0000,3.75
0.000000,0.48,0,0.0000,3.75
0.000000,0.64,0,0.0000,3.75
0.000000,0.80,0,0.0000,3.75
0.000000,0.96,0,0.0000,3.75
0.000000,1.12,0,0.0000,3.75
0.000000,1.28,0,0.0000,3.75
0.000000,1.44,0,0.0000,3.75
0.000000,1.60,0,0.0000,3.75
0.000000,1.76,0,0.0000,3.75
0.000000,1.92,0,0.0000,3.75
0.000000,2.08,0,0.0000,3.75
0.000000,2.24,0,0.0000,3.75
0.000000,2.40,0,0.0000,3.75
0.000000,2.56,0,0.0000,3.75
0.000000,2.71,0,0.0000,3.75
0.000000,2.87,0,0.0000,3.75
0.000000,3.03,0,0.0000,3.75
0.000000,3.19,0,0.0000,3.75
0.000000,3.35,0,0.0000,3.75
0.000000,3.51,0,0.0000,3.75
0.000000,3.67,0,0.0000,3.75
0.000000,3.83,0,0.0000,3.75
0.000000,3.98,0,0.0000,3.75
0.000000,4.14,0,0.0000,3.75
0.000000,4.30,0,0.0000,3.75
0.000000,4.46,0,0.0000,3.75
0.000000,4.61,0,0.0000,3.75
0.000000,4.77,0,0.0000,3.75
0.000000,4.93,0,0.0000,3.75
0.000000,5.09,0,0.0000,3.75
0.000000,5.24,0,0.0000,3.75
0.000000,5.40,0,0.0000,3.75
0.000000,5.56,0,0.0000,3.75
0.000000,5.71,0,0.0000,3.75
0.000000,5.87,0,0.0000,3.75
0.000000,6.02,0,0.0000,3.75
0.000000,6.18,0,0.0000,3.75
0.000000,6.33,0,0.0000,3.75
0.000000,6.49,0,0.0000,3.75
0.000000,6.64,0,0.0000,3.75
0.000000,6.80,0,0.0000,3.75
0.000000,6.95,0,0.0000,3.75
0.000000,7.11,0,0.0000,3.75
0.000000,7.26,0,0.0000,3.75
0.000000,7.41,0,0.0000,3.75
0.000000,7.57,0,0.0000,3.75
0.000000,7.72,0,0.0000,3.75
0.000000,7.87,0,0.0000,3.75
0.000000,8.02,0,0.0000,3.75
0.000000,8.18,0,0.0000,3.75
0.000000,8.33,0,0.0000,3.75
0.000000,8.48,0,0.0000,3.75
0.000000,8.63,0,0.0000,3.78
0.000000,8.78,0,0.0000,3.81
0.000000,8.93,0,0.0000,3.84
0.000000,9.08,0,0.0000,3.87
0.000000,9.23,0,0.0000,3.90
0.000000,9.38,0,0.0000,3.93
0.000000,9.53,0,0.0000,3.96
0.000000,9.68,0,0.0000,3.99
0.000000,9.83,0,0.0000,4.02
0.000000,9.97,0,0.0000,4.05
0.000000,10.12,0,0.0000,4.08
0.000000,10.27,0,0.0000,4.11
0.000000,10.42,0,0.0000,4.14
0.000000,10.56,0,0.0000,4.17
0.000000,10.71,0,0.0000,4.20
0.000000,10.85,0,0.0000,4.23
0.000007,11.00,0,0.0005,4.27
0.000022,11.14,0,0.0016,4.30
0.000037,11.29,0,0.0027,4.33
0.000052,11.43,0,0.0038,4.36
0.000067,11.58,0,0.0049,4.39
0.000082,11.72,0,0.0059,4.42
0.000097,11.86,0,0.0070,4.45
0.000112,12.01,0,0.0081,4.48
0.000127,12.15,0,0.0092,4.51
0.000142,12.29,0,0.0103,4.54
0.000157,12.43,0,0.0114,4.57
0.000171,12.57,0,0.0124,4.60
0.000186,12.71,0,0.0135,4.63
0.000201,12.85,0,0.0146,4.66
0.000216,12.99,0,0.0157,4.69
0.000231,13.13,0,0.0168,4.72
0.000246,13.27,0,0.0178,4.75
0.000261,13.41,0,0.0189,4.75
0.000276,13.54,0,0.0200,4.75
0.000291,13.68,0,0.0211,4.75
0.000306,13.82,0,0.0222,4.75
0.000321,13.95,0,0.0232,4.75
0.000335,14.09,0,0.0243,4.75
0.000350,14.22,0,0.0254,4.75
0.000365,14.36,0,0.0265,4.75
0.000380,14.49,0,0.0276,4.75
0.000395,14.62,0,0.0287,4.75
0.000410,14.76,0,0.0297,4.75
0.000425,14.89,0,0.0308,4.75
0.000440,15.02,0,0.0319,4.75
0.000455,15.15,0,0.0330,4.75
0.000470,15.28,0,0.0341,4.75
0.000485,15.41,0,0.0351,4.75
0.000500,15.54,0,0.0362,4.75
