# Trazado en planta EDITADO a mano (alignment_editor):
# rectas + circulos + clotoides; rasante conservada
# kappa_1pm,elev_m,kerb,peralte_rad (seg 4.0 m)
0.003337,0.00,0,0.0212
0.001781,-0.16,0,0.0110
0.000226,-0.33,0,0.0000
-0.001329,-0.49,0,-0.0093
-0.002885,-0.66,0,-0.0202
-0.004440,-0.82,1,-0.0311
-0.005996,-0.99,1,-0.0420
-0.007551,-1.16,1,-0.0529
-0.009107,-1.32,1,-0.0637
-0.010662,-1.49,1,-0.0746
-0.012218,-1.66,1,-0.0855
-0.013773,-1.83,1,-0.0964
-0.015329,-1.98,1,-0.1047
-0.016884,-2.09,1,-0.1047
-0.018439,-2.19,1,-0.1047
-0.019995,-2.25,1,-0.1047
-0.021550,-2.29,1,-0.1047
-0.023106,-2.31,1,-0.1047
-0.024661,-2.30,1,-0.1047
-0.026126,-2.26,1,-0.1047
-0.026126,-2.19,1,-0.1047
-0.026126,-2.10,1,-0.1047
-0.026126,-1.99,1,-0.1047
-0.026126,-1.85,1,-0.1047
-0.026126,-1.68,1,-0.1047
-0.026126,-1.49,1,-0.1047
-0.026126,-1.27,1,-0.1047
-0.026126,-1.02,1,-0.1047
-0.026126,-0.75,1,-0.1047
-0.026126,-0.45,1,-0.1047
-0.026126,-0.13,1,-0.1047
-0.026126,0.22,1,-0.1047
-0.026126,0.60,1,-0.1047
-0.026126,0.98,1,-0.1047
-0.026126,1.37,1,-0.1047
-0.026126,1.77,1,-0.1047
-0.026126,2.17,1,-0.1047
-0.026126,2.58,1,-0.1047
-0.026126,3.00,1,-0.1047
-0.026126,3.43,1,-0.1047
-0.026126,3.86,1,-0.1047
-0.026126,4.28,1,-0.1047
-0.026126,4.70,1,-0.1047
-0.026126,5.11,1,-0.1047
-0.026126,5.50,1,-0.1047
-0.026126,5.89,1,-0.1047
-0.026126,6.27,1,-0.1047
-0.026126,6.64,1,-0.1047
-0.026126,7.00,1,-0.1047
-0.026126,7.35,1,-0.1047
-0.026126,7.69,1,-0.1047
-0.026126,8.02,1,-0.1047
-0.026126,8.34,1,-0.1047
-0.026126,8.66,1,-0.1047
-0.019808,8.96,1,-0.1047
-0.008274,9.26,1,-0.0803
0.000000,9.54,0,-0.0542
0.000000,9.82,0,-0.0281
0.000000,10.09,0,-0.0083
0.000000,10.35,0,0.0000
0.000000,10.60,0,0.0000
0.000000,10.84,0,0.0000
0.000000,11.07,0,0.0000
0.000000,11.29,0,0.0000
0.000000,11.50,0,0.0000
0.000000,11.71,0,0.0000
0.000000,11.90,0,0.0000
0.000000,12.09,0,0.0000
0.000000,12.26,0,0.0000
0.000000,12.43,0,0.0000
0.000000,12.59,0,0.0000
0.000000,12.74,0,0.0000
0.000000,12.88,0,0.0000
0.000000,13.01,0,0.0000
0.000000,13.13,0,0.0000
0.000000,13.24,0,0.0000
0.000000,13.36,0,0.0000
0.000000,13.47,0,0.0000
0.000000,13.60,0,0.0000
0.000000,13.72,0,0.0000
0.000000,13.85,0,0.0000
0.000000,13.98,0,0.0000
0.000000,14.12,0,0.0000
0.000000,14.26,0,0.0000
0.000000,14.40,0,0.0000
0.000000,14.54,0,0.0000
0.000000,14.69,0,0.0000
0.000000,14.84,0,0.0000
0.000000,15.00,0,0.0000
0.000000,15.16,0,0.0000
0.000000,15.32,0,0.0000
0.000000,15.49,0,0.0000
0.000000,15.65,0,0.0000
0.000000,15.83,0,0.0000
0.000000,16.00,0,0.0000
0.000000,16.18,0,0.0000
0.000000,16.36,0,0.0000
0.000000,16.55,0,0.0000
0.000000,16.74,0,0.0000
0.000000,16.93,0,0.0000
0.000000,17.13,0,0.0000
0.000000,17.32,0,0.0000
0.000000,17.53,0,0.0000
0.000000,17.73,0,0.0000
0.000000,17.94,0,0.0000
0.000000,18.15,0,0.0000
0.000000,18.35,0,0.0000
0.000000,18.54,0,0.0000
0.000000,18.72,0,0.0000
0.000000,18.89,0,0.0000
0.000000,19.04,0,0.0000
0.000000,19.18,0,0.0000
0.000000,19.31,0,0.0000
0.000000,19.43,0,0.0000
0.000000,19.54,0,0.0000
0.000000,19.63,0,0.0000
0.000000,19.71,0,0.0000
0.000000,19.79,0,0.0000
0.000000,19.85,0,0.0000
0.000000,19.89,0,0.0000
0.000000,19.93,0,0.0000
0.000000,19.95,0,0.0000
0.000000,19.97,0,0.0000
0.000000,19.97,0,0.0000
0.000000,19.96,0,-0.0075
0.000000,19.94,0,-0.0198
-0.000898,19.90,0,-0.0379
-0.006609,19.86,1,-0.0609
-0.012320,19.80,1,-0.0840
-0.018032,19.73,1,-0.1047
-0.023059,19.65,1,-0.1047
-0.023059,19.56,1,-0.1047
-0.023059,19.45,1,-0.1047
-0.023059,19.34,1,-0.1047
-0.023059,19.21,1,-0.1047
-0.023059,19.07,1,-0.1047
-0.023059,18.92,1,-0.1047
-0.023059,18.75,1,-0.1047
-0.023059,18.58,1,-0.1047
-0.023059,18.39,1,-0.1047
-0.023059,18.20,1,-0.1047
-0.023059,17.99,1,-0.1047
-0.021724,17.76,1,-0.1047
-0.017290,17.53,1,-0.1047
-0.012856,17.29,1,-0.0873
-0.008421,17.03,1,-0.0643
-0.003987,16.76,0,-0.0426
0.000000,16.48,0,-0.0253
0.000000,16.19,0,-0.0124
0.000000,15.89,0,0.0000
0.000000,15.57,0,0.0000
0.000000,15.24,0,0.0000
0.000000,14.90,0,0.0000
0.000000,14.55,0,0.0000
0.000000,14.19,0,0.0000
0.000000,13.82,0,0.0000
0.000000,13.43,0,0.0000
0.000000,13.03,0,0.0000
0.000000,12.62,0,0.0000
0.000000,12.20,0,0.0000
0.000000,11.80,0,0.0000
0.000000,11.40,0,0.0000
0.000000,11.01,0,0.0046
0.000000,10.64,0,0.0135
0.000130,10.28,0,0.0267
0.004486,9.93,1,0.0442
0.008842,9.60,1,0.0661
0.013198,9.28,1,0.0924
0.017554,8.98,1,0.1047
0.021909,8.71,1,0.1047
0.026265,8.47,1,0.1047
0.030621,8.26,1,0.1047
0.031551,8.07,1,0.1047
0.031551,7.91,1,0.1047
0.031551,7.78,1,0.1047
0.031551,7.67,1,0.1047
0.031551,7.60,1,0.1047
0.031551,7.54,1,0.1047
0.031551,7.52,1,0.1047
0.031551,7.53,1,0.1047
0.031551,7.56,1,0.1047
0.031551,7.62,1,0.1047
0.026189,7.70,1,0.1047
0.019278,7.82,1,0.1047
0.012367,7.94,1,0.0850
0.005456,8.06,1,0.0382
-0.001456,8.19,0,-0.0102
-0.008367,8.33,1,-0.0570
-0.015278,8.47,1,-0.0970
-0.022190,8.62,1,-0.1047
-0.027567,8.77,1,-0.1047
-0.027567,8.93,1,-0.1047
-0.027567,9.08,1,-0.1047
