# M-50 - Norma 3.1-IC (tools/make_carretera.py)
# Vp=50 km/h, grupo 3, R_min=85 m; ida y vuelta distintas, cerradas con dos glorietas de R=63 m a 40 km/h; 3 cruces a distinto nivel
# kappa_1_per_m, elev_m, piano, peralte_rad, semiancho_m
0.000224,0.00,0,0.0042,3.25
0.000672,0.40,0,0.0125,3.25
0.001121,0.80,0,0.0208,3.25
0.001569,1.20,0,0.0292,3.25
0.002017,1.60,0,0.0375,3.25
0.002465,2.00,0,0.0458,3.25
0.002914,2.40,0,0.0541,3.25
0.003362,2.80,0,0.0624,3.25
0.003810,3.20,0,0.0707,3.25
0.004258,3.60,0,0.0790,3.25
0.004707,4.00,0,0.0873,3.25
0.005155,4.40,0,0.0955,3.25
0.005559,4.80,0,0.0997,3.25
0.005559,5.20,0,0.0997,3.25
0.005559,5.60,0,0.0997,3.25
0.005559,6.00,0,0.0997,3.25
0.005559,6.40,0,0.0997,3.25
0.005559,6.80,0,0.0997,3.25
0.005559,7.20,0,0.0997,3.25
0.005155,7.60,0,0.0955,3.25
0.004707,8.00,0,0.0873,3.25
0.004258,8.40,0,0.0790,3.25
0.003810,8.80,0,0.0707,3.25
0.003362,9.20,0,0.0624,3.25
0.002914,9.60,0,0.0541,3.25
0.002465,10.00,0,0.0458,3.25
0.002017,10.39,0,0.0375,3.25
0.001569,10.79,0,0.0292,3.25
0.001121,11.19,0,0.0208,3.25
0.000672,11.59,0,0.0125,3.25
0.000224,11.99,0,0.0042,3.25
0.000000,12.39,0,0.0000,3.25
0.000000,12.79,0,0.0000,3.25
0.000000,13.19,0,0.0000,3.25
0.000000,13.59,0,0.0000,3.25
0.000000,13.99,0,0.0000,3.25
0.000000,14.39,0,0.0000,3.25
0.000000,14.78,0,0.0000,3.25
0.000000,15.18,0,0.0000,3.25
0.000000,15.58,0,0.0000,3.25
0.000000,15.98,0,0.0000,3.25
0.000000,16.38,0,0.0000,3.25
0.000000,16.78,0,0.0000,3.25
0.000000,17.18,0,0.0000,3.25
0.000000,17.57,0,0.0000,3.25
0.000000,17.97,0,0.0000,3.25
0.000000,18.37,0,0.0000,3.25
0.000000,18.77,0,0.0000,3.25
-0.000313,19.17,0,-0.0045,3.25
-0.000939,19.56,0,-0.0136,3.25
-0.001565,19.96,0,-0.0227,3.25
-0.002191,20.36,0,-0.0318,3.25
-0.002817,20.76,0,-0.0409,3.25
-0.003444,21.15,0,-0.0500,3.25
-0.004070,21.55,0,-0.0590,3.25
-0.004696,21.95,0,-0.0681,3.25
-0.005322,22.35,0,-0.0771,3.25
-0.005948,22.74,0,-0.0861,3.25
-0.006574,23.14,0,-0.0952,3.25
-0.006901,23.54,0,-0.0997,3.25
-0.006901,23.93,0,-0.0997,3.25
-0.006901,24.33,0,-0.0997,3.25
-0.006901,24.73,0,-0.0997,3.25
-0.006901,25.12,0,-0.0997,3.25
-0.006901,25.52,0,-0.0997,3.25
-0.006901,25.92,0,-0.0997,3.25
-0.006901,26.31,0,-0.0997,3.25
-0.006901,26.71,0,-0.0997,3.25
-0.006901,27.11,0,-0.0997,3.25
-0.006901,27.50,0,-0.0997,3.25
-0.006901,27.90,0,-0.0997,3.25
-0.006901,28.29,0,-0.0997,3.25
-0.006901,28.69,0,-0.0997,3.25
-0.006574,29.08,0,-0.0952,3.25
-0.005948,29.48,0,-0.0861,3.25
-0.005322,29.87,0,-0.0771,3.25
-0.004696,30.27,0,-0.0681,3.25
-0.004070,30.66,0,-0.0590,3.25
-0.003444,31.06,0,-0.0500,3.25
-0.002817,31.45,0,-0.0409,3.25
-0.002191,31.85,0,-0.0318,3.25
-0.001565,32.24,0,-0.0227,3.25
-0.000939,32.63,0,-0.0136,3.25
-0.000313,33.03,0,-0.0045,3.25
0.000000,33.42,0,0.0000,3.25
0.000000,33.82,0,0.0000,3.25
0.000000,34.21,0,0.0000,3.25
0.000000,34.60,0,0.0000,3.25
0.000000,35.00,0,0.0000,3.25
0.000000,35.39,0,0.0000,3.25
0.000000,35.78,0,0.0000,3.25
0.000000,36.17,0,0.0000,3.25
0.000000,36.57,0,0.0000,3.25
0.000000,36.96,0,0.0000,3.25
0.000000,37.35,0,0.0000,3.25
0.000000,37.74,0,0.0000,3.25
0.000000,38.14,0,0.0000,3.25
0.000000,38.53,0,0.0000,3.25
0.000000,38.92,0,0.0000,3.25
0.000000,39.31,0,0.0000,3.25
0.000000,39.70,0,0.0000,3.25
0.000313,40.09,0,0.0045,3.25
0.000939,40.48,0,0.0136,3.25
0.001565,40.87,0,0.0227,3.25
0.002191,41.27,0,0.0318,3.25
0.002817,41.66,0,0.0409,3.25
0.003444,42.05,0,0.0500,3.25
0.004070,42.44,0,0.0590,3.25
0.004696,42.83,0,0.0681,3.25
0.005322,43.21,0,0.0771,3.25
0.005948,43.60,0,0.0861,3.25
0.006574,43.99,0,0.0952,3.25
0.006359,44.38,0,0.0997,3.25
0.006359,44.77,0,0.0997,3.25
0.006359,45.16,0,0.0997,3.25
0.006359,45.55,0,0.0997,3.25
0.006359,45.94,0,0.0997,3.25
0.006359,46.32,0,0.0997,3.25
0.006359,46.71,0,0.0997,3.25
0.006574,47.10,0,0.0952,3.25
0.005948,47.49,0,0.0861,3.25
0.005322,47.87,0,0.0771,3.25
0.004696,48.26,0,0.0681,3.25
0.004070,48.65,0,0.0590,3.25
0.003444,49.04,0,0.0500,3.25
0.002817,49.42,0,0.0409,3.25
0.002191,49.81,0,0.0318,3.25
0.001565,50.19,0,0.0227,3.25
0.000939,50.58,0,0.0136,3.25
0.000313,50.97,0,0.0045,3.25
0.000000,51.35,0,0.0000,3.25
0.000000,51.74,0,0.0000,3.25
0.000000,52.12,0,0.0000,3.25
0.000000,52.50,0,0.0000,3.25
0.000000,52.89,0,0.0000,3.25
0.000000,53.27,0,0.0000,3.25
0.000000,53.66,0,0.0000,3.25
0.000000,54.04,0,0.0000,3.25
0.000000,54.42,0,0.0000,3.25
0.000000,54.81,0,0.0000,3.25
0.000000,55.19,0,0.0000,3.25
0.000000,55.57,0,0.0000,3.25
0.000000,55.96,0,0.0000,3.25
0.000000,56.34,0,0.0000,3.25
0.000000,56.72,0,0.0000,3.25
0.000000,57.10,0,0.0000,3.25
0.000000,57.48,0,0.0000,3.25
-0.000313,57.86,0,-0.0045,3.25
-0.000939,58.25,0,-0.0136,3.25
-0.001565,58.63,0,-0.0227,3.25
-0.002191,59.01,0,-0.0318,3.25
-0.002817,59.39,0,-0.0409,3.25
-0.003444,59.77,0,-0.0500,3.25
-0.004070,60.15,0,-0.0590,3.25
-0.004696,60.53,0,-0.0681,3.25
-0.005322,60.91,0,-0.0771,3.25
-0.005948,61.28,0,-0.0861,3.25
-0.006574,61.66,0,-0.0952,3.25
-0.006647,62.04,0,-0.0997,3.25
-0.006647,62.42,0,-0.0997,3.25
-0.006647,62.80,0,-0.0997,3.25
-0.006647,63.18,0,-0.0997,3.25
-0.006647,63.55,0,-0.0997,3.25
-0.006647,63.93,0,-0.0997,3.25
-0.006647,64.31,0,-0.0997,3.25
-0.006647,64.68,0,-0.0997,3.25
-0.006647,65.06,0,-0.0997,3.25
-0.006647,65.44,0,-0.0997,3.25
-0.006647,65.81,0,-0.0997,3.25
-0.006647,66.19,0,-0.0997,3.25
-0.006574,66.56,0,-0.0952,3.25
-0.005948,66.94,0,-0.0861,3.25
-0.005322,67.31,0,-0.0771,3.25
-0.004696,67.69,0,-0.0681,3.25
-0.004070,68.06,0,-0.0590,3.25
-0.003444,68.43,0,-0.0500,3.25
-0.002817,68.81,0,-0.0409,3.25
-0.002191,69.18,0,-0.0318,3.25
-0.001565,69.55,0,-0.0227,3.25
-0.000939,69.93,0,-0.0136,3.25
-0.000313,70.30,0,-0.0045,3.25
0.000000,70.67,0,0.0000,3.25
0.000000,71.04,0,0.0000,3.25
0.000000,71.41,0,0.0000,3.25
0.000000,71.78,0,0.0000,3.25
0.000000,72.16,0,0.0000,3.25
0.000000,72.53,0,0.0000,3.25
0.000000,72.90,0,0.0000,3.25
0.000000,73.27,0,0.0000,3.25
