# OVALO generado por tools/make_oval.py
# kappa_1_per_m, elev_m, kerb, peralte_rad
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
0.000000,0.00,0,0.0000
