# Track con ALZADO de diseno (profile_editor):
# planta resuelta + rasantes y acuerdos parabolicos
# kappa_1pm,elev_m,kerb,peralte_rad (seg 4.0 m)
-0.000008,0.00,0,0.0000
0.000000,0.08,0,0.0000
-0.000011,0.15,0,0.0000
-0.000011,0.23,0,0.0000
-0.000009,0.30,0,0.0000
-0.000008,0.37,0,0.0000
-0.000011,0.45,0,0.0000
-0.000005,0.52,0,0.0000
-0.000001,0.60,0,0.0000
-0.000003,0.67,0,0.0000
-0.000006,0.75,0,0.0000
-0.000007,0.82,0,0.0000
0.000001,0.90,0,0.0000
-0.000005,0.97,0,0.0000
-0.000006,1.04,0,0.0000
-0.000004,1.12,0,0.0000
0.000000,1.19,0,0.0000
-0.000007,1.27,0,0.0000
-0.000002,1.34,0,0.0000
0.000000,1.42,0,0.0000
-0.000000,1.49,0,0.0000
-0.000000,1.56,0,0.0000
-0.000007,1.64,0,0.0000
-0.000002,1.71,0,0.0000
0.000000,1.79,0,0.0000
-0.000000,1.86,0,0.0000
0.000000,1.94,0,0.0000
0.000000,2.01,0,0.0000
-0.000000,2.09,0,0.0000
0.000000,2.16,0,0.0000
-0.000000,2.23,0,0.0000
-0.000000,2.31,0,0.0000
0.000000,2.38,0,0.0000
-0.000000,2.46,0,0.0000
0.000000,2.53,0,0.0000
-0.000000,2.61,0,0.0000
-0.000000,2.68,0,0.0000
0.000005,2.75,0,0.0000
0.000002,2.83,0,0.0000
0.000003,2.90,0,0.0000
0.000004,2.98,0,0.0000
-0.000000,3.05,0,0.0000
0.000006,3.13,0,0.0000
0.000002,3.20,0,0.0000
-0.000000,3.27,0,0.0000
0.000000,3.35,0,0.0000
0.000000,3.42,0,0.0000
0.000005,3.50,0,0.0000
0.000002,3.57,0,0.0000
0.000006,3.65,0,0.0000
0.000010,3.72,0,0.0000
-0.000000,3.80,0,0.0000
-0.000000,3.87,0,0.0000
0.000009,3.94,0,0.0000
0.000004,4.02,0,0.0000
-0.000003,4.09,0,0.0000
0.000012,4.17,0,0.0000
0.000007,4.24,0,0.0000
0.000006,4.32,0,0.0000
0.000006,4.39,0,0.0000
0.000005,4.46,0,0.0000
0.000000,4.54,0,0.0000
-0.000006,4.61,0,0.0000
-0.000018,4.69,0,0.0000
-0.000023,4.76,0,0.0000
-0.000027,4.84,0,0.0000
-0.000042,4.91,0,0.0000
-0.000051,4.99,0,0.0000
-0.000061,5.06,0,0.0000
-0.000073,5.13,0,0.0000
-0.000083,5.21,0,0.0000
-0.000087,5.28,0,0.0000
-0.000099,5.36,0,0.0000
-0.000111,5.43,0,0.0000
