# Spa-Francorchamps: geometria IDEALIZADA (rectas+circulos+clotoides) + rasante REAL (KML+DEM)
# elevacion via OpenTopoData / EU-DEM 25m; peralte sintetico
# kappa_1pm,elev_m,kerb,peralte_rad  (segmentos de 4.0 m)
0.000233,0.00,0,0.0000
-0.000031,-0.16,0,0.0000
-0.000295,-0.33,0,0.0000
-0.000559,-0.49,0,-0.0054
-0.000824,-0.66,0,-0.0090
-0.001594,-0.82,0,-0.0131
-0.002364,-0.99,0,-0.0184
-0.003292,-1.16,0,-0.0246
-0.004220,-1.32,1,-0.0319
-0.005516,-1.49,1,-0.0394
-0.006812,-1.66,1,-0.0471
-0.008109,-1.83,1,-0.0546
-0.009094,-1.98,1,-0.0617
-0.010080,-2.09,1,-0.0682
-0.010722,-2.19,1,-0.0740
-0.011364,-2.25,1,-0.0792
-0.012006,-2.29,1,-0.0846
-0.012648,-2.31,1,-0.0901
-0.013290,-2.30,1,-0.0962
-0.014456,-2.26,1,-0.1025
-0.015622,-2.19,1,-0.1047
-0.016788,-2.10,1,-0.1047
-0.017658,-1.99,1,-0.1047
-0.018528,-1.85,1,-0.1047
-0.018767,-1.68,1,-0.1047
-0.019007,-1.49,1,-0.1047
-0.019246,-1.27,1,-0.1047
-0.019485,-1.02,1,-0.1047
-0.019724,-0.75,1,-0.1047
-0.019963,-0.45,1,-0.1047
-0.019822,-0.13,1,-0.1047
-0.019680,0.22,1,-0.1047
-0.019539,0.60,1,-0.1047
-0.019397,0.98,1,-0.1047
-0.019256,1.37,1,-0.1047
-0.019627,1.77,1,-0.1047
-0.019998,2.17,1,-0.1047
-0.020369,2.58,1,-0.1047
-0.020740,3.00,1,-0.1047
-0.021111,3.43,1,-0.1047
-0.020740,3.86,1,-0.1047
-0.020369,4.28,1,-0.1047
-0.019998,4.70,1,-0.1047
-0.019628,5.11,1,-0.1047
-0.019257,5.50,1,-0.1047
-0.018886,5.89,1,-0.1047
-0.018515,6.27,1,-0.1047
-0.017729,6.64,1,-0.1047
-0.016690,7.00,1,-0.1047
-0.015652,7.35,1,-0.1047
-0.014614,7.69,1,-0.1023
-0.013576,8.02,1,-0.0950
-0.012537,8.34,1,-0.0878
-0.011499,8.66,1,-0.0805
-0.010461,8.96,1,-0.0732
-0.009423,9.26,1,-0.0660
-0.008384,9.54,1,-0.0587
-0.007346,9.82,1,-0.0514
-0.006308,10.09,1,-0.0444
-0.005270,10.35,1,-0.0376
-0.004231,10.60,1,-0.0310
-0.003421,10.84,0,-0.0250
-0.002611,11.07,0,-0.0195
-0.001800,11.29,0,-0.0145
-0.001311,11.50,0,-0.0104
-0.000821,11.71,0,-0.0069
-0.000331,11.90,0,0.0000
-0.000115,12.09,0,0.0000
0.000102,12.26,0,0.0000
0.000319,12.43,0,0.0000
0.000536,12.59,0,0.0000
0.000753,12.74,0,0.0040
0.000970,12.88,0,0.0043
0.000776,13.01,0,0.0042
0.000582,13.13,0,0.0000
0.000388,13.24,0,0.0000
0.000194,13.36,0,0.0000
0.000000,13.47,0,0.0000
0.000034,13.60,0,0.0000
0.000067,13.72,0,0.0000
0.000101,13.85,0,0.0000
0.000134,13.98,0,0.0000
0.000168,14.12,0,0.0000
0.000201,14.26,0,0.0000
0.000235,14.40,0,0.0000
0.000268,14.54,0,0.0000
0.000302,14.69,0,0.0000
0.000335,14.84,0,0.0000
0.000369,15.00,0,0.0000
0.000402,15.16,0,0.0000
0.000142,15.32,0,0.0000
-0.000118,15.49,0,0.0000
-0.000379,15.65,0,0.0000
-0.000639,15.83,0,0.0000
-0.000431,16.00,0,0.0000
-0.000223,16.18,0,0.0000
-0.000015,16.36,0,0.0000
0.000193,16.55,0,0.0000
0.000402,16.74,0,0.0000
0.000366,16.93,0,0.0000
0.000330,17.13,0,0.0000
0.000295,17.32,0,0.0000
