# Trazado en planta EDITADO a mano (alignment_editor):
# rectas + circulos + clotoides; rasante conservada
# kappa_1pm,elev_m,kerb,peralte_rad (seg 4.0 m)
0.002514,0.00,0,0.0160
0.001342,-0.16,0,0.0083
0.000170,-0.33,0,0.0000
-0.001002,-0.49,0,-0.0070
-0.002174,-0.66,0,-0.0152
-0.003346,-0.82,0,-0.0234
-0.004518,-0.99,1,-0.0316
-0.005690,-1.16,1,-0.0398
-0.006862,-1.32,1,-0.0480
-0.008034,-1.49,1,-0.0562
-0.009206,-1.66,1,-0.0644
-0.010378,-1.83,1,-0.0726
-0.011550,-1.98,1,-0.0808
-0.012722,-2.09,1,-0.0891
-0.013894,-2.19,1,-0.0973
-0.015066,-2.25,1,-0.1047
-0.016238,-2.29,1,-0.1047
-0.017410,-2.31,1,-0.1047
-0.018582,-2.30,1,-0.1047
-0.019686,-2.26,1,-0.1047
-0.019686,-2.19,1,-0.1047
-0.019686,-2.10,1,-0.1047
-0.019686,-1.99,1,-0.1047
-0.019686,-1.85,1,-0.1047
-0.019686,-1.68,1,-0.1047
-0.019686,-1.49,1,-0.1047
-0.019686,-1.27,1,-0.1047
-0.019686,-1.02,1,-0.1047
-0.019686,-0.75,1,-0.1047
-0.019686,-0.45,1,-0.1047
-0.019686,-0.13,1,-0.1047
-0.019686,0.22,1,-0.1047
-0.019686,0.60,1,-0.1047
-0.019686,0.98,1,-0.1047
-0.019686,1.37,1,-0.1047
-0.019686,1.77,1,-0.1047
-0.019686,2.17,1,-0.1047
-0.019686,2.58,1,-0.1047
-0.019686,3.00,1,-0.1047
-0.019686,3.43,1,-0.1047
-0.019686,3.86,1,-0.1047
-0.019686,4.28,1,-0.1047
-0.019686,4.70,1,-0.1047
-0.019686,5.11,1,-0.1047
-0.019686,5.50,1,-0.1047
-0.019686,5.89,1,-0.1047
-0.019686,6.27,1,-0.1047
-0.019686,6.64,1,-0.1047
-0.019686,7.00,1,-0.1047
-0.019686,7.35,1,-0.1047
-0.019686,7.69,1,-0.1047
-0.019686,8.02,1,-0.1047
-0.019686,8.34,1,-0.1047
-0.019686,8.66,1,-0.0999
-0.014925,8.96,1,-0.0802
-0.006234,9.26,1,-0.0605
0.000000,9.54,0,-0.0408
0.000000,9.82,0,-0.0212
0.000000,10.09,0,-0.0062
0.000000,10.35,0,0.0000
0.000000,10.60,0,0.0000
0.000000,10.84,0,0.0000
0.000000,11.07,0,0.0000
0.000000,11.29,0,0.0000
0.000000,11.50,0,0.0000
0.000000,11.71,0,0.0000
0.000000,11.90,0,0.0000
0.000000,12.09,0,0.0000
0.000000,12.26,0,0.0000
0.000000,12.43,0,0.0000
0.000000,12.59,0,0.0000
0.000000,12.74,0,0.0000
0.000000,12.88,0,0.0000
0.000000,13.01,0,0.0000
0.000000,13.13,0,0.0000
0.000000,13.24,0,0.0000
0.000000,13.36,0,0.0000
0.000000,13.47,0,0.0000
0.000000,13.60,0,0.0000
0.000000,13.72,0,0.0000
0.000000,13.85,0,0.0000
0.000000,13.98,0,0.0000
0.000000,14.12,0,0.0000
0.000000,14.26,0,0.0000
0.000000,14.40,0,0.0000
0.000000,14.54,0,0.0000
0.000000,14.69,0,0.0000
0.000000,14.84,0,0.0000
0.000000,15.00,0,0.0000
0.000000,15.16,0,0.0000
0.000000,15.32,0,0.0000
0.000000,15.49,0,0.0000
0.000000,15.65,0,0.0000
0.000000,15.83,0,0.0000
0.000000,16.00,0,0.0000
0.000000,16.18,0,0.0000
0.000000,16.36,0,0.0000
0.000000,16.55,0,0.0000
0.000000,16.74,0,0.0000
0.000000,16.93,0,0.0000
0.000000,17.13,0,0.0000
0.000000,17.32,0,0.0000
0.000000,17.53,0,0.0000
0.000000,17.73,0,0.0000
0.000000,17.94,0,0.0000
0.000000,18.15,0,0.0000
0.000000,18.35,0,0.0000
0.000000,18.54,0,0.0000
0.000000,18.72,0,0.0000
0.000000,18.89,0,0.0000
0.000000,19.04,0,0.0000
0.000000,19.18,0,0.0000
0.000000,19.31,0,0.0000
0.000000,19.43,0,0.0000
0.000000,19.54,0,0.0000
0.000000,19.63,0,0.0000
0.000000,19.71,0,0.0000
0.000000,19.79,0,0.0000
0.000000,19.85,0,0.0000
0.000000,19.89,0,0.0000
0.000000,19.93,0,0.0000
0.000000,19.95,0,0.0000
