# Trazado de diseno RESUELTO desde las directrices (alignment_solver):
# rectas + circulos exactos + clotoides generadas; cierra a 360
# kappa_1pm,elev_m,kerb,peralte_rad (seg 4.0 m)
-0.017159,0.00,1,-0.1047
-0.017159,-0.16,1,-0.1047
-0.017159,-0.33,1,-0.1047
-0.017159,-0.49,1,-0.1047
-0.017159,-0.67,1,-0.1047
-0.017159,-0.83,1,-0.1047
-0.017159,-1.00,1,-0.1047
-0.017159,-1.17,1,-0.1047
-0.017159,-1.33,1,-0.1047
-0.017159,-1.50,1,-0.1047
-0.017159,-1.68,1,-0.1047
-0.017159,-1.85,1,-0.1047
-0.017159,-1.99,1,-0.1047
-0.017159,-2.10,1,-0.1047
-0.017159,-2.20,1,-0.1047
-0.017159,-2.26,1,-0.1047
-0.017159,-2.29,1,-0.1047
-0.017159,-2.31,1,-0.1047
-0.017159,-2.29,1,-0.1047
-0.017159,-2.25,1,-0.1047
-0.017159,-2.17,1,-0.1047
-0.017159,-2.08,1,-0.1047
-0.017159,-1.96,1,-0.1047
-0.017159,-1.81,1,-0.1047
-0.017159,-1.64,1,-0.1047
-0.017159,-1.44,1,-0.1047
-0.017159,-1.21,1,-0.1047
-0.017159,-0.95,1,-0.1047
-0.017159,-0.67,1,-0.1047
-0.017159,-0.36,1,-0.1047
-0.017159,-0.03,1,-0.1047
-0.017159,0.33,1,-0.1047
-0.017159,0.71,1,-0.1047
-0.017159,1.10,1,-0.1047
-0.017159,1.50,1,-0.1047
-0.017159,1.90,1,-0.1047
-0.017159,2.31,1,-0.1047
-0.016379,2.72,1,-0.1047
-0.014820,3.15,1,-0.1006
-0.013260,3.59,1,-0.0920
-0.011700,4.02,1,-0.0819
-0.010140,4.44,1,-0.0710
-0.008580,4.86,1,-0.0601
-0.007020,5.27,1,-0.0491
-0.005460,5.66,1,-0.0382
-0.003900,6.05,0,-0.0281
-0.002340,6.43,0,-0.0195
-0.000780,6.80,0,-0.0125
0.000000,7.16,0,-0.0070
0.000000,7.50,0,0.0000
0.000000,7.84,0,0.0000
0.000000,8.17,0,0.0000
0.000000,8.49,0,0.0000
0.000000,8.81,0,0.0000
0.000000,9.11,0,0.0000
0.000000,9.40,0,0.0000
0.000000,9.68,0,0.0000
0.000000,9.96,0,0.0000
0.000000,10.23,0,0.0000
0.000000,10.49,0,0.0000
0.000000,10.73,0,0.0000
0.000000,10.97,0,0.0000
0.000000,11.20,0,0.0000
0.000000,11.41,0,0.0000
0.000000,11.62,0,0.0000
0.000000,11.82,0,0.0000
0.000000,12.02,0,0.0000
0.000000,12.20,0,0.0000
0.000000,12.37,0,0.0000
0.000000,12.53,0,0.0000
0.000000,12.69,0,0.0000
0.000000,12.83,0,0.0000
0.000000,12.97,0,0.0000
0.000000,13.09,0,0.0000
0.000000,13.21,0,0.0000
0.000000,13.32,0,0.0000
0.000000,13.44,0,0.0000
0.000000,13.56,0,0.0000
0.000000,13.69,0,0.0000
0.000000,13.81,0,0.0000
0.000000,13.95,0,0.0000
0.000000,14.08,0,0.0000
0.000000,14.23,0,0.0000
0.000000,14.37,0,0.0000
0.000000,14.51,0,0.0000
0.000000,14.66,0,0.0000
0.000000,14.81,0,0.0000
0.000000,14.97,0,0.0000
0.000000,15.13,0,0.0000
0.000000,15.29,0,0.0000
0.000000,15.46,0,0.0000
0.000000,15.62,0,0.0000
0.000000,15.80,0,0.0000
0.000000,15.98,0,0.0000
0.000000,16.16,0,0.0000
0.000000,16.34,0,0.0000
0.000000,16.53,0,0.0000
0.000000,16.72,0,0.0000
0.000000,16.91,0,0.0000
0.000000,17.11,0,0.0000
0.000000,17.31,0,0.0000
0.000000,17.52,0,0.0000
0.000000,17.72,0,0.0000
0.000000,17.93,0,-0.0076
-0.000843,18.14,0,-0.0135
-0.002528,18.34,0,-0.0211
-0.004214,18.54,1,-0.0303
-0.005899,18.72,1,-0.0413
-0.007585,18.89,1,-0.0531
-0.009270,19.04,1,-0.0641
-0.010956,19.18,1,-0.0733
-0.012642,19.31,1,-0.0809
-0.013484,19.43,1,-0.0868
-0.013484,19.54,1,-0.0910
-0.013484,19.63,1,-0.0935
-0.013484,19.72,1,-0.0944
-0.013484,19.79,1,-0.0944
-0.013484,19.85,1,-0.0944
-0.013484,19.89,1,-0.0944
-0.013484,19.93,1,-0.0944
-0.013484,19.95,1,-0.0944
-0.013484,19.97,1,-0.0944
-0.013484,19.97,1,-0.0936
-0.013484,19.96,1,-0.0914
-0.013484,19.93,1,-0.0876
-0.012735,19.89,1,-0.0824
-0.011237,19.85,1,-0.0757
-0.009739,19.79,1,-0.0674
-0.008240,19.72,1,-0.0577
-0.006742,19.63,1,-0.0472
-0.005244,19.54,1,-0.0367
-0.003746,19.43,0,-0.0270
-0.002247,19.31,0,-0.0187
-0.000749,19.18,0,-0.0120
0.000000,19.03,0,-0.0067
0.000000,18.88,0,0.0000
0.000000,18.71,0,0.0000
0.000000,18.53,0,0.0000
0.000000,18.34,0,0.0000
0.000000,18.14,0,0.0000
0.000000,17.92,0,0.0000
0.000000,17.69,0,0.0000
0.000000,17.45,0,0.0000
0.000000,17.21,0,0.0000
0.000000,16.94,0,0.0148
0.000000,16.66,0,0.0333
0.003700,16.38,0,0.0592
0.011099,16.08,1,0.0888
0.018498,15.77,1,0.1047
0.025897,15.45,1,0.1047
0.029597,15.11,1,0.1047
0.029597,14.76,1,0.1047
0.029597,14.40,1,0.1047
0.029597,14.04,1,0.1047
0.029597,13.65,1,0.1047
0.029597,13.26,1,0.1047
0.029597,12.85,1,0.1047
0.029597,12.43,1,0.1047
0.029597,12.02,1,0.1047
0.026124,11.61,1,0.1047
0.019179,11.21,1,0.1047
0.012234,10.83,1,0.0822
0.005289,10.46,1,0.0370
-0.001657,10.10,0,-0.0116
-0.008602,9.76,1,-0.0567
-0.015547,9.43,1,-0.0949
-0.022492,9.12,1,-0.1047
-0.025965,8.83,1,-0.1047
-0.025965,8.58,1,-0.1047
-0.025965,8.35,1,-0.1047
-0.025965,8.15,1,-0.1047
-0.025965,7.98,1,-0.1047
-0.025965,7.83,1,-0.1047
-0.025965,7.71,1,-0.1047
-0.025965,7.63,1,-0.1047
-0.025965,7.56,1,-0.1047
-0.025965,7.53,1,-0.1047
-0.025965,7.53,1,-0.1047
-0.024110,7.55,1,-0.1047
-0.020401,7.60,1,-0.1047
-0.016692,7.67,1,-0.1047
-0.012982,7.78,1,-0.0909
-0.009273,7.90,1,-0.0668
-0.005564,8.02,1,-0.0464
-0.001855,8.15,0,-0.0297
0.000000,8.29,0,-0.0167
0.000000,8.43,0,-0.0074
0.000000,8.58,0,0.0000
0.000000,8.73,0,0.0000
0.000000,8.89,0,0.0000
0.000000,9.04,0,0.0000
0.000000,9.19,0,0.0000
0.000000,9.32,0,0.0000
0.000000,9.44,0,0.0000
0.000000,9.55,0,0.0000
0.000000,9.64,0,0.0000
0.000000,9.72,0,0.0000
0.000000,9.80,0,0.0000
0.000000,9.85,0,0.0000
0.000000,9.90,0,0.0000
0.000000,9.94,0,0.0000
0.000000,9.97,0,0.0000
0.000000,9.98,0,0.0000
0.000000,9.98,0,0.0000
0.000000,9.97,0,0.0000
0.000000,9.95,0,0.0000
0.000000,9.91,0,0.0000
0.000000,9.87,0,0.0000
0.000000,9.81,0,0.0000
0.000000,9.74,0,0.0000
0.000000,9.66,0,0.0000
0.000000,9.57,0,0.0000
0.000000,9.47,0,0.0000
0.000000,9.35,0,0.0000
0.000000,9.23,0,0.0000
0.000000,9.09,0,0.0000
0.000000,8.94,0,0.0000
0.000000,8.80,0,0.0000
0.000000,8.65,0,0.0000
0.000000,8.51,0,0.0000
0.000000,8.37,0,0.0000
0.000000,8.23,0,0.0000
0.000000,8.10,0,0.0000
0.000000,7.97,0,0.0000
0.000000,7.84,0,0.0000
0.000000,7.71,0,0.0000
0.000000,7.59,0,0.0000
0.000000,7.47,0,0.0000
0.000000,7.35,0,0.0000
0.000000,7.24,0,0.0000
0.000000,7.13,0,0.0000
0.000000,7.02,0,0.0000
0.000000,6.91,0,0.0000
0.000000,6.80,0,0.0000
0.000000,6.70,0,0.0000
0.000000,6.60,0,0.0000
0.000000,6.50,0,0.0000
0.000000,6.41,0,0.0000
0.000000,6.32,0,0.0000
0.000000,6.23,0,0.0000
0.000000,6.14,0,0.0000
0.000000,6.06,0,0.0000
0.000000,5.98,0,0.0000
0.000000,5.90,0,0.0000
0.000000,5.83,0,0.0000
0.000000,5.75,0,0.0000
0.000000,5.68,0,0.0000
0.000000,5.61,0,0.0000
0.000000,5.55,0,0.0000
0.000000,5.49,0,0.0000
0.000000,5.43,0,0.0000
0.000000,5.37,0,0.0000
0.000000,5.32,0,0.0000
0.000000,5.26,0,0.0000
0.000000,5.22,0,0.0000
0.000000,5.17,0,0.0000
0.000000,5.13,0,0.0000
0.000000,5.08,0,0.0000
0.000000,5.05,0,0.0000
0.000000,5.01,0,0.0000
0.000000,4.98,0,0.0000
0.000000,4.95,0,0.0000
0.000000,4.92,0,0.0000
0.000000,4.88,0,0.0000
0.000000,4.83,0,0.0000
0.000000,4.77,0,0.0000
0.000000,4.71,0,0.0000
0.000000,4.63,0,0.0000
0.000000,4.55,0,0.0000
0.000000,4.46,0,0.0000
0.000000,4.36,0,0.0000
0.000000,4.25,0,0.0000
0.000000,4.14,0,0.0000
0.000000,4.01,0,0.0000
0.000000,3.88,0,0.0000
0.000000,3.74,0,0.0000
0.000000,3.60,0,0.0000
0.000000,3.44,0,0.0000
0.000000,3.27,0,0.0000
0.000000,3.10,0,0.0000
0.000000,2.92,0,0.0000
0.000000,2.73,0,0.0000
0.000000,2.53,0,0.0000
0.000000,2.32,0,0.0000
0.000000,2.11,0,0.0000
0.000000,1.88,0,0.0000
0.000000,1.65,0,0.0000
0.000000,1.41,0,0.0000
0.000000,1.16,0,0.0000
0.000000,0.91,0,0.0000
0.000000,0.64,0,0.0000
0.000000,0.37,0,0.0000
0.000000,0.09,0,0.0000
0.000000,-0.20,0,0.0000
0.000000,-0.50,0,0.0000
0.000000,-0.79,0,0.0000
0.000000,-1.08,0,0.0000
0.000000,-1.37,0,0.0000
0.000000,-1.65,0,0.0000
0.000000,-1.93,0,0.0000
0.000000,-2.20,0,0.0000
0.000000,-2.46,0,0.0000
0.000000,-2.73,0,0.0000
0.000000,-2.98,0,0.0000
0.000000,-3.23,0,0.0000
0.000000,-3.48,0,0.0000
0.000000,-3.71,0,0.0000
0.000000,-3.95,0,0.0000
0.000000,-4.18,0,0.0000
0.000000,-4.40,0,0.0000
0.000000,-4.62,0,0.0000
0.000000,-4.83,0,0.0000
0.000000,-5.04,0,0.0000
0.000000,-5.25,0,0.0000
0.000000,-5.44,0,0.0000
0.000000,-5.63,0,0.0000
0.000000,-5.82,0,0.0000
0.000000,-6.01,0,0.0000
0.000000,-6.18,0,0.0000
0.000000,-6.35,0,0.0000
0.000000,-6.52,0,0.0000
0.000000,-6.68,0,0.0000
