# Track con ALZADO de diseno (profile_editor):
# planta resuelta + rasantes y acuerdos parabolicos
# kappa_1pm,elev_m,kerb,peralte_rad (seg 4.0 m)
-0.017159,1.14,1,-0.1047
-0.017159,1.32,1,-0.1047
-0.017159,1.49,1,-0.1047
-0.017159,1.66,1,-0.1047
-0.017159,1.83,1,-0.1047
-0.017159,2.00,1,-0.1047
-0.017159,2.17,1,-0.1047
-0.017159,2.35,1,-0.1047
-0.017159,2.52,1,-0.1047
-0.017159,2.69,1,-0.1047
-0.017159,2.86,1,-0.1047
-0.017159,3.03,1,-0.1047
-0.017159,3.21,1,-0.1047
-0.017159,3.38,1,-0.1047
-0.017159,3.55,1,-0.1047
-0.017159,3.72,1,-0.1047
-0.017159,3.89,1,-0.1047
-0.017159,4.07,1,-0.1047
-0.017159,4.24,1,-0.1047
-0.017159,4.41,1,-0.1047
-0.017159,4.58,1,-0.1047
-0.017159,4.75,1,-0.1047
-0.017159,4.92,1,-0.1047
-0.017159,5.10,1,-0.1047
-0.017159,5.27,1,-0.1047
-0.017159,5.44,1,-0.1047
-0.017159,5.61,1,-0.1047
-0.017159,5.78,1,-0.1047
-0.017159,5.96,1,-0.1047
-0.017159,6.13,1,-0.1047
-0.017159,6.30,1,-0.1047
-0.017159,6.47,1,-0.1047
-0.017159,6.64,1,-0.1047
-0.017159,6.81,1,-0.1047
-0.017159,6.99,1,-0.1047
-0.017159,7.16,1,-0.1047
-0.017159,7.33,1,-0.1047
-0.016379,7.50,1,-0.1047
-0.014820,7.67,1,-0.1006
-0.013260,7.85,1,-0.0920
-0.011700,8.02,1,-0.0819
-0.010140,8.19,1,-0.0710
-0.008580,8.36,1,-0.0601
-0.007020,8.53,1,-0.0491
-0.005460,8.70,1,-0.0382
-0.003900,8.88,0,-0.0281
-0.002340,9.05,0,-0.0195
-0.000780,9.22,0,-0.0125
0.000000,9.39,0,-0.0070
0.000000,9.56,0,0.0000
0.000000,9.74,0,0.0000
0.000000,9.91,0,0.0000
0.000000,10.08,0,0.0000
0.000000,10.25,0,0.0000
0.000000,10.42,0,0.0000
0.000000,10.59,0,0.0000
0.000000,10.77,0,0.0000
0.000000,10.94,0,0.0000
0.000000,11.11,0,0.0000
0.000000,11.28,0,0.0000
0.000000,11.45,0,0.0000
0.000000,11.63,0,0.0000
0.000000,11.80,0,0.0000
0.000000,11.97,0,0.0000
0.000000,12.14,0,0.0000
0.000000,12.31,0,0.0000
0.000000,12.49,0,0.0000
0.000000,12.66,0,0.0000
0.000000,12.83,0,0.0000
0.000000,13.00,0,0.0000
0.000000,13.17,0,0.0000
0.000000,13.34,0,0.0000
0.000000,13.52,0,0.0000
0.000000,13.69,0,0.0000
0.000000,13.86,0,0.0000
0.000000,14.03,0,0.0000
0.000000,14.20,0,0.0000
0.000000,14.38,0,0.0000
0.000000,14.55,0,0.0000
0.000000,14.72,0,0.0000
0.000000,14.89,0,0.0000
0.000000,15.06,0,0.0000
0.000000,15.23,0,0.0000
0.000000,15.41,0,0.0000
0.000000,15.58,0,0.0000
0.000000,15.75,0,0.0000
0.000000,15.92,0,0.0000
0.000000,16.09,0,0.0000
0.000000,16.27,0,0.0000
0.000000,16.44,0,0.0000
0.000000,16.61,0,0.0000
0.000000,16.78,0,0.0000
0.000000,16.95,0,0.0000
0.000000,17.12,0,0.0000
0.000000,17.30,0,0.0000
0.000000,17.47,0,0.0000
0.000000,17.64,0,0.0000
0.000000,17.81,0,0.0000
0.000000,17.98,0,0.0000
0.000000,18.16,0,0.0000
0.000000,18.33,0,0.0000
0.000000,18.50,0,0.0000
0.000000,18.67,0,0.0000
0.000000,18.84,0,-0.0076
-0.000843,18.99,0,-0.0135
-0.002528,19.14,0,-0.0211
-0.004214,19.29,1,-0.0303
-0.005899,19.42,1,-0.0413
-0.007585,19.55,1,-0.0531
-0.009270,19.67,1,-0.0641
-0.010956,19.79,1,-0.0733
-0.012642,19.89,1,-0.0809
-0.013484,19.99,1,-0.0868
-0.013484,20.09,1,-0.0910
-0.013484,20.17,1,-0.0935
-0.013484,20.25,1,-0.0944
-0.013484,20.32,1,-0.0944
-0.013484,20.38,1,-0.0944
-0.013484,20.44,1,-0.0944
-0.013484,20.48,1,-0.0944
-0.013484,20.53,1,-0.0944
-0.013484,20.56,1,-0.0944
-0.013484,20.59,1,-0.0936
-0.013484,20.61,1,-0.0914
-0.013484,20.62,1,-0.0876
-0.012735,20.62,1,-0.0824
-0.011237,20.62,1,-0.0757
-0.009739,20.61,1,-0.0674
-0.008240,20.59,1,-0.0577
-0.006742,20.57,1,-0.0472
-0.005244,20.54,1,-0.0367
-0.003746,20.50,0,-0.0270
-0.002247,20.45,0,-0.0187
-0.000749,20.40,0,-0.0120
0.000000,20.34,0,-0.0067
0.000000,20.27,0,0.0000
0.000000,20.20,0,0.0000
0.000000,20.11,0,0.0000
0.000000,20.02,0,0.0000
