# Track importado (planta cruda + cota REAL del DEM)
# kappa_1pm,elev_m,kerb,peralte_rad,semiancho_m
0.000335,0.00,0,0.0000,7.31
0.000301,-0.08,0,0.0000,7.29
0.000278,-0.16,0,0.0000,7.29
0.000267,-0.24,0,0.0000,7.29
0.000244,-0.29,0,0.0000,7.29
0.000219,-0.35,0,0.0000,7.29
0.000210,-0.41,0,0.0000,7.29
0.000182,-0.47,0,0.0000,7.29
0.000161,-0.52,0,0.0000,7.29
0.000147,-0.57,0,0.0000,7.29
0.000134,-0.60,0,0.0000,7.30
0.000105,-0.63,0,0.0000,7.30
0.000098,-0.66,0,0.0000,7.30
0.000071,-0.68,0,0.0000,7.30
0.000047,-0.68,0,0.0000,7.30
0.000033,-0.66,0,0.0000,7.30
0.000021,-0.63,0,0.0000,7.30
-0.000015,-0.62,0,0.0000,7.30
-0.000021,-0.62,0,0.0000,7.30
-0.000026,-0.62,0,0.0000,7.30
-0.000035,-0.62,0,0.0000,7.30
-0.000042,-0.62,0,0.0000,7.31
-0.000042,-0.63,0,0.0000,7.31
-0.000038,-0.66,0,0.0000,7.31
-0.000035,-0.69,0,0.0000,7.31
-0.000034,-0.72,0,0.0000,7.31
-0.000021,-0.77,0,0.0000,7.31
-0.000020,-0.82,0,0.0000,7.31
-0.000024,-0.88,0,0.0000,7.31
-0.000026,-0.93,0,0.0000,7.31
-0.000021,-0.99,0,0.0000,7.31
-0.000021,-1.06,0,0.0000,7.32
-0.000015,-1.14,0,0.0000,7.32
-0.000010,-1.22,0,0.0000,7.32
-0.000007,-1.30,0,0.0000,7.32
-0.000007,-1.38,0,0.0000,7.32
-0.000007,-1.46,0,0.0000,7.32
-0.000002,-1.54,0,0.0000,7.32
0.000000,-1.64,0,0.0000,7.32
0.000001,-1.74,0,0.0000,7.32
0.000007,-1.85,0,0.0000,7.32
0.000001,-1.96,0,0.0000,7.32
0.000009,-2.06,0,0.0000,7.33
0.000014,-2.14,0,0.0000,7.33
0.000013,-2.22,0,0.0000,7.33
0.000007,-2.30,0,0.0000,7.33
0.000019,-2.41,0,0.0000,7.33
0.000008,-2.52,0,0.0000,7.33
0.000005,-2.62,0,0.0000,7.33
0.000013,-2.73,0,0.0000,7.33
0.000007,-2.84,0,0.0000,7.33
0.000013,-2.95,0,0.0000,7.33
0.000014,-3.06,0,0.0000,7.34
0.000013,-3.16,0,0.0000,7.34
0.000014,-3.25,0,0.0000,7.34
0.000014,-3.33,0,0.0000,7.34
0.000008,-3.41,0,0.0000,7.34
0.000015,-3.51,0,0.0000,7.34
0.000019,-3.62,0,0.0000,7.34
0.000014,-3.73,0,0.0000,7.34
0.000014,-3.83,0,0.0000,7.34
0.000019,-3.94,0,0.0000,7.34
0.000017,-4.05,0,0.0000,7.34
0.000015,-4.14,0,0.0000,7.35
0.000021,-4.25,0,0.0000,7.35
0.000015,-4.35,0,0.0000,7.35
0.000018,-4.46,0,0.0000,7.35
0.000018,-4.57,0,0.0000,7.35
0.000012,-4.69,0,0.0000,7.35
0.000007,-4.82,0,0.0000,7.35
0.000033,-4.96,0,0.0000,7.35
0.000016,-5.09,0,0.0000,7.35
0.000016,-5.23,0,0.0000,7.35
0.000027,-5.36,0,0.0000,7.35
0.000021,-5.50,0,0.0000,7.36
0.000020,-5.64,0,0.0000,7.36
0.000021,-5.78,0,0.0000,7.36
0.000018,-5.91,0,0.0000,7.36
0.000015,-6.05,0,0.0000,7.36
0.000028,-6.21,0,0.0000,7.36
0.000016,-6.38,0,0.0000,7.36
0.000027,-6.54,0,0.0000,7.36
0.000033,-6.70,0,0.0000,7.36
0.000027,-6.84,0,0.0000,7.36
0.000021,-6.98,0,0.0000,7.37
0.000021,-7.11,0,0.0000,7.37
0.000017,-7.26,0,0.0000,7.37
0.000018,-7.42,0,0.0000,7.37
0.000028,-7.59,0,0.0000,7.37
0.000028,-7.78,0,0.0000,7.36
0.000028,-7.97,0,0.0000,7.34
0.000028,-8.16,0,0.0000,7.31
0.000026,-8.34,0,0.0000,7.28
0.000021,-8.53,0,0.0000,7.26
0.000028,-8.71,0,0.0000,7.23
0.000028,-8.87,0,0.0000,7.21
0.000031,-9.03,0,0.0000,7.18
0.000035,-9.20,0,0.0000,7.15
0.000035,-9.36,0,0.0000,7.13
0.000015,-9.52,0,0.0000,7.10
0.000033,-9.67,0,0.0000,7.08
0.000033,-9.81,0,0.0000,7.05
0.000022,-9.95,0,0.0000,7.02
0.000028,-10.08,0,0.0000,7.00
0.000041,-10.22,0,0.0000,6.97
0.000027,-10.34,0,0.0000,6.95
0.000027,-10.45,0,0.0000,6.92
0.000035,-10.56,0,0.0000,6.89
0.000035,-10.67,0,0.0000,6.87
0.000029,-10.78,0,0.0000,6.84
0.000032,-10.88,0,0.0000,6.82
0.000035,-11.00,0,0.0000,6.79
0.000034,-11.12,0,0.0000,6.76
0.000028,-11.22,0,0.0000,6.74
0.000034,-11.33,0,0.0000,6.71
