# Track con ALZADO de diseno (profile_editor):
# planta resuelta + rasantes y acuerdos parabolicos
# kappa_1pm,elev_m,kerb,peralte_rad,semiancho_m (seg 4.0 m)
0.000335,-3.50,0,0.0000,7.31
0.000301,-3.65,0,0.0000,7.29
0.000278,-3.78,0,0.0000,7.29
0.000267,-3.89,0,0.0000,7.29
0.000244,-4.00,0,0.0000,7.29
0.000219,-4.11,0,0.0000,7.29
0.000210,-4.22,0,0.0000,7.29
0.000182,-4.32,0,0.0000,7.29
0.000161,-4.43,0,0.0000,7.29
0.000147,-4.54,0,0.0000,7.29
0.000134,-4.65,0,0.0000,7.30
0.000105,-4.76,0,0.0000,7.30
0.000098,-4.87,0,0.0000,7.30
0.000071,-4.98,0,0.0000,7.30
0.000047,-5.08,0,0.0000,7.30
0.000033,-5.19,0,0.0000,7.30
0.000021,-5.30,0,0.0000,7.30
-0.000015,-5.41,0,0.0000,7.30
-0.000021,-5.52,0,0.0000,7.30
-0.000026,-5.63,0,0.0000,7.30
-0.000035,-5.74,0,0.0000,7.30
-0.000042,-5.84,0,0.0000,7.31
-0.000042,-5.95,0,0.0000,7.31
-0.000038,-6.06,0,0.0000,7.31
-0.000035,-6.17,0,0.0000,7.31
-0.000034,-6.28,0,0.0000,7.31
-0.000021,-6.39,0,0.0000,7.31
-0.000020,-6.50,0,0.0000,7.31
-0.000024,-6.60,0,0.0000,7.31
-0.000026,-6.71,0,0.0000,7.31
-0.000021,-6.82,0,0.0000,7.31
-0.000021,-6.93,0,0.0000,7.32
-0.000015,-7.04,0,0.0000,7.32
-0.000010,-7.15,0,0.0000,7.32
-0.000007,-7.26,0,0.0000,7.32
-0.000007,-7.36,0,0.0000,7.32
-0.000007,-7.47,0,0.0000,7.32
-0.000002,-7.58,0,0.0000,7.32
0.000000,-7.69,0,0.0000,7.32
0.000001,-7.80,0,0.0000,7.32
0.000007,-7.91,0,0.0000,7.32
0.000001,-8.02,0,0.0000,7.32
0.000009,-8.12,0,0.0000,7.33
0.000014,-8.23,0,0.0000,7.33
0.000013,-8.34,0,0.0000,7.33
0.000007,-8.45,0,0.0000,7.33
0.000019,-8.56,0,0.0000,7.33
0.000008,-8.67,0,0.0000,7.33
0.000005,-8.78,0,0.0000,7.33
0.000013,-8.88,0,0.0000,7.33
0.000007,-8.99,0,0.0000,7.33
0.000013,-9.10,0,0.0000,7.33
0.000014,-9.21,0,0.0000,7.34
0.000013,-9.32,0,0.0000,7.34
0.000014,-9.43,0,0.0000,7.34
0.000014,-9.54,0,0.0000,7.34
0.000008,-9.64,0,0.0000,7.34
0.000015,-9.75,0,0.0000,7.34
0.000019,-9.86,0,0.0000,7.34
0.000014,-9.97,0,0.0000,7.34
0.000014,-10.08,0,0.0000,7.34
0.000019,-10.19,0,0.0000,7.34
0.000017,-10.30,0,0.0000,7.34
0.000015,-10.40,0,0.0000,7.35
0.000021,-10.51,0,0.0000,7.35
0.000015,-10.62,0,0.0000,7.35
0.000018,-10.73,0,0.0000,7.35
0.000018,-10.84,0,0.0000,7.35
0.000012,-10.95,0,0.0000,7.35
0.000007,-11.06,0,0.0000,7.35
0.000033,-11.16,0,0.0000,7.35
0.000016,-11.27,0,0.0000,7.35
0.000016,-11.38,0,0.0000,7.35
0.000027,-11.49,0,0.0000,7.35
0.000021,-11.60,0,0.0000,7.36
0.000020,-11.71,0,0.0000,7.36
0.000021,-11.82,0,0.0000,7.36
0.000018,-11.92,0,0.0000,7.36
0.000015,-12.03,0,0.0000,7.36
0.000028,-12.14,0,0.0000,7.36
0.000016,-12.25,0,0.0000,7.36
0.000027,-12.36,0,0.0000,7.36
0.000033,-12.47,0,0.0000,7.36
0.000027,-12.58,0,0.0000,7.36
0.000021,-12.68,0,0.0000,7.37
0.000021,-12.79,0,0.0000,7.37
0.000017,-12.90,0,0.0000,7.37
0.000018,-13.01,0,0.0000,7.37
0.000028,-13.12,0,0.0000,7.37
0.000028,-13.23,0,0.0000,7.36
0.000028,-13.34,0,0.0000,7.34
0.000028,-13.44,0,0.0000,7.31
0.000026,-13.55,0,0.0000,7.28
0.000021,-13.66,0,0.0000,7.26
0.000028,-13.77,0,0.0000,7.23
0.000028,-13.88,0,0.0000,7.21
0.000031,-13.99,0,0.0000,7.18
0.000035,-14.10,0,0.0000,7.15
0.000035,-14.21,0,0.0000,7.13
0.000015,-14.31,0,0.0000,7.10
0.000033,-14.42,0,0.0000,7.08
0.000033,-14.53,0,0.0000,7.05
0.000022,-14.64,0,0.0000,7.02
0.000028,-14.75,0,0.0000,7.00
0.000041,-14.86,0,0.0000,6.97
0.000027,-14.97,0,0.0000,6.95
0.000027,-15.07,0,0.0000,6.92
0.000035,-15.18,0,0.0000,6.89
0.000035,-15.29,0,0.0000,6.87
0.000029,-15.40,0,0.0000,6.84
0.000032,-15.51,0,0.0000,6.82
