# Spa-Francorchamps: geometria cruda + rasante REAL (KML+DEM)
# elevacion via OpenTopoData / EU-DEM 25m; peralte sintetico
# kappa_1pm,elev_m,kerb,peralte_rad  (segmentos de 4.0 m)
-0.000008,0.00,0,0.0000
0.000000,0.05,0,0.0000
-0.000011,0.10,0,0.0000
-0.000011,0.14,0,0.0000
-0.000009,0.19,0,0.0000
-0.000008,0.24,0,0.0000
-0.000011,0.29,0,0.0000
-0.000005,0.34,0,0.0000
-0.000001,0.39,0,0.0000
-0.000003,0.44,0,0.0000
-0.000006,0.49,0,0.0000
-0.000007,0.53,0,0.0000
0.000001,0.58,0,0.0000
-0.000005,0.63,0,0.0000
-0.000006,0.68,0,0.0000
-0.000004,0.73,0,0.0000
0.000000,0.78,0,0.0000
-0.000007,0.83,0,0.0000
-0.000002,0.88,0,0.0000
0.000000,0.93,0,0.0000
-0.000000,0.98,0,0.0000
-0.000000,1.04,0,0.0000
-0.000007,1.09,0,0.0000
-0.000002,1.15,0,0.0000
0.000000,1.20,0,0.0000
-0.000000,1.26,0,0.0000
0.000000,1.32,0,0.0000
0.000000,1.38,0,0.0000
-0.000000,1.44,0,0.0000
0.000000,1.51,0,0.0000
-0.000000,1.57,0,0.0000
-0.000000,1.64,0,0.0000
0.000000,1.71,0,0.0000
-0.000000,1.78,0,0.0000
0.000000,1.85,0,0.0000
-0.000000,1.93,0,0.0000
-0.000000,2.00,0,0.0000
0.000005,2.08,0,0.0000
0.000002,2.16,0,0.0000
0.000003,2.25,0,0.0000
0.000004,2.33,0,0.0000
-0.000000,2.42,0,0.0000
0.000006,2.51,0,0.0000
0.000002,2.60,0,0.0000
-0.000000,2.69,0,0.0000
0.000000,2.78,0,0.0000
0.000000,2.88,0,0.0000
0.000005,2.98,0,0.0000
0.000002,3.08,0,0.0000
0.000006,3.18,0,0.0000
0.000010,3.28,0,0.0000
-0.000000,3.38,0,0.0000
-0.000000,3.49,0,0.0000
0.000009,3.59,0,0.0000
0.000004,3.69,0,0.0000
-0.000003,3.80,0,0.0000
0.000012,3.90,0,0.0000
0.000007,4.01,0,0.0000
0.000006,4.11,0,0.0000
0.000006,4.22,0,0.0000
0.000005,4.32,0,0.0000
0.000000,4.42,0,0.0000
-0.000006,4.52,0,0.0000
-0.000018,4.62,0,0.0000
-0.000023,4.72,0,0.0000
-0.000027,4.82,0,0.0000
-0.000042,4.92,0,0.0000
-0.000051,5.01,0,0.0000
-0.000061,5.10,0,0.0000
-0.000073,5.19,0,0.0000
-0.000083,5.28,0,0.0000
-0.000087,5.37,0,0.0000
-0.000099,5.46,0,0.0000
-0.000111,5.54,0,0.0000
-0.000119,5.62,0,0.0000
-0.000129,5.70,0,0.0000
-0.000153,5.78,0,0.0000
-0.000158,5.85,0,0.0000
-0.000158,5.93,0,0.0000
-0.000168,6.00,0,0.0000
-0.000181,6.07,0,0.0000
-0.000182,6.13,0,0.0000
-0.000198,6.19,0,0.0000
-0.000163,6.25,0,0.0000
-0.000081,6.31,0,0.0000
0.000046,6.35,0,0.0000
0.000231,6.40,0,0.0000
0.000525,6.44,0,0.0000
0.000673,6.47,0,0.0000
0.000524,6.51,0,0.0000
0.000050,6.53,0,0.0046
-0.000865,6.56,0,0.0126
0.000077,6.58,0,0.0265
0.003583,6.59,0,0.0474
0.008551,6.61,1,0.0740
0.014538,6.62,1,0.1010
0.021487,6.62,1,0.1047
0.026644,6.63,1,0.1047
0.026108,6.63,1,0.1047
0.022961,6.63,1,0.1047
0.018206,6.63,1,0.1047
0.012722,6.63,1,0.0993
0.007628,6.63,1,0.0800
0.005877,6.62,1,0.0653
0.005799,6.62,1,0.0561
0.006805,6.62,1,0.0525
0.008217,6.61,1,0.0537
0.009068,6.61,1,0.0557
0.009138,6.61,1,0.0567
0.008750,6.61,1,0.0553
0.007962,6.60,1,0.0514
0.006769,6.60,1,0.0456
0.005414,6.60,1,0.0386
0.004319,6.60,1,0.0309
0.003238,6.60,0,0.0228
0.002172,6.60,0,0.0153
0.001037,6.60,0,0.0087
-0.000140,6.60,0,0.0000
-0.000763,6.60,0,0.0000
-0.001141,6.61,0,0.0000
-0.001271,6.61,0,-0.0052
-0.001101,6.62,0,-0.0048
-0.000608,6.64,0,0.0000
-0.000166,6.66,0,0.0000
0.000270,6.68,0,0.0000
